FIPS,State,County,Fair or Poor Health,Smokers,Adults with Obesity,Physically Inactive,With Access to Exercise Opportunities,Excessive Drinking,High School Graduation Rate,Some College,Children in Poverty,Severe Housing Problems, Drive Alone to Work,Long Commute_Drives Alone
9000,Connecticut,NA,13.80070984,12.73098058,25.8,20.4,94.01927256,17.11073048,87.97176025,68.90460057,13.8,18.14182319,78.16935697,33.7
9001,Connecticut,Fairfield,10.59603022,10.15789601,21.3,17.7,96.81074661,19.40118911,90.40864062,70.87204895,12.7,21.31499657,72.2749918,35.4
9003,Connecticut,Hartford,13.04421594,11.35624802,26.2,21.6,96.84132463,15.66000421,83.81509013,69.47766502,15.5,16.84307542,81.10922372,29.4
9005,Connecticut,Litchfield,10.67878186,12.06314117,27.7,20.8,82.93028374,17.63499124,88.8381877,68.07072421,8.1,14.69599139,83.87012225,39.8
9007,Connecticut,Middlesex,10.37722437,11.31644061,25.5,19.4,96.76054468,19.08250645,96.33856784,76.18665412,8.1,14.02241781,81.61070604,40.5
9009,Connecticut,New Haven,14.44271145,12.84395197,28.1,21.7,95.4136748,18.55410878,85.84305271,65.83740291,16.7,20.13262478,78.11729225,33
9011,Connecticut,New London,11.54628191,12.35083973,29.6,20.9,92.07093467,17.84605154,89.08543135,66.48531685,12.5,15.01836677,79.78010464,28.6
9013,Connecticut,Tolland,10.47040495,10.54348999,24.9,19.1,76.60569385,19.0501883,91.42347561,75.37780588,6.4,12.60650481,79.93497445,43.5
9015,Connecticut,Windham,13.38518756,14.35695184,30.3,23,81.85901983,17.23257416,82.62757386,62.00147581,14.8,15.89471306,83.01896733,38.5
23000,Maine,NA,14.99146241,17.30342833,29.9,21.6,69.96659794,20.21985275,86.66897754,67.81046334,14.8,15.00154234,78.46989639,32.7
23001,Maine,Androscoggin,13.44885544,16.44920619,33.9,24.7,84.18042376,19.86295898,81.22633254,66.61271053,17.3,14.82847246,79.32103461,33.2
23003,Maine,Aroostook,17.49279448,18.59272146,35.9,31.2,55.63378322,15.31152568,90.18606225,65.29888551,19.1,13.66834171,79.66205837,19.4
23005,Maine,Cumberland,9.004808874,11.3915224,23.3,15.9,83.84408927,22.81849942,88.25068446,77.79574675,8,15.52557903,76.4728173,30.2
23007,Maine,Franklin,14.0570048,16.19735643,34.1,23.3,46.76612065,19.89570048,90.18292683,64.15701416,20.4,13.17928969,76.67377399,36.6
23009,Maine,Hancock,12.96677119,14.39473471,24.9,18.3,69.5119262,20.92241723,88.02158273,63.86698663,15.9,16.27368421,72.56969744,34.5
23011,Maine,Kennebec,12.4856462,16.46310733,33.5,23.1,76.52577548,19.15456187,83.15217391,66.45468998,15,14.44029117,79.89154915,32.3
23013,Maine,Knox,11.17356336,13.69764642,27.2,18.6,44.81326757,20.54428676,90.77146172,61.22019635,16.1,15.81920904,77.65317566,18
23015,Maine,Lincoln,11.14804081,14.52458874,24.5,19.4,56.6764373,18.22099166,NA,58.11978546,16.8,14.94673768,75.76062359,34.3
23017,Maine,Oxford,13.64768876,18.03092353,33.2,26.2,40.95585565,18.94845455,83.53134796,52.37785016,26.3,15.94692401,80.78698178,42.7
23019,Maine,Penobscot,15.21209102,16.85807633,33.7,23.5,63.41222559,20.13641643,87.73743557,67.32585358,17.1,14.92271587,79.38675274,26.1
23021,Maine,Piscataquis,15.24438697,18.90087176,36.6,25.1,48.04676362,17.75719084,NA,53.24469769,23.8,14.332893,78.1300813,31.5
23023,Maine,Sagadahoc,11.75255415,13.59092194,25.1,18.5,81.42407843,20.9112097,85.23480663,66.19194252,13,14.21709894,79.50837743,32.8
23025,Maine,Somerset,15.73655733,19.09450339,33.9,26,59.47576013,18.35902995,86.14349376,56.65304672,21.1,16.28070175,81.7799383,33.7
23027,Maine,Waldo,15.062473,17.5107616,30.7,20.7,49.99742175,18.57805483,84.79323308,64.63092642,20.2,14.80380499,77.12891375,39.4
23029,Maine,Washington,17.62785565,18.22978957,32.6,26.7,51.95702459,18.51910991,NA,52.48328558,26.8,13.50870956,73.45416633,27.2
23031,Maine,York,12.72386155,14.03691369,30.2,21.7,77.91012068,21.20413554,88.03747485,69.25950294,10.5,14.90495217,81.01797827,41.9
25000,Massachusetts,NA,14.39870091,13.66761859,24.7,21.3,94.46567605,21.34634262,88.3,73.12244349,12.4,17.74304484,70.22592561,43.3
25001,Massachusetts,Barnstable,10.04082735,11.85390632,21.4,18.2,91.57804047,20.40709087,91.74158607,66.46798591,9.9,17.32379438,80.43215885,26.6
25003,Massachusetts,Berkshire,13.2075844,13.78295409,25.7,19.9,85.32605796,19.30914609,87.57268623,64.02655201,15.9,15.88733935,77.48529202,23.5
25005,Massachusetts,Bristol,14.34273831,15.01321279,29.1,26.8,95.48628907,20.95127923,88.224443,63.16981727,14.3,17.01693005,81.41649323,38.7
25007,Massachusetts,Dukes,11.05661153,12.01852925,26.8,18.2,88.35198065,20.53950511,91.71804124,64.45447306,11.7,23.9608802,71.88502197,3.2
25009,Massachusetts,Essex,13.39528422,11.74006476,24.8,21.1,95.73348368,20.77270006,89.19497879,67.45534506,13.3,18.66002983,74.00144729,43.3
25011,Massachusetts,Franklin,12.49670071,13.61118012,28.8,21.7,79.23555456,19.70144669,82.44678363,69.44444444,14.5,15.38334979,77.17349251,36.2
25013,Massachusetts,Hampden,18.34808066,15.44052525,31.2,25.7,95.16731753,20.32205038,85.25464698,60.54037099,25.8,19.0144224,82.32307085,28.4
25015,Massachusetts,Hampshire,12.29551525,13.38615691,20.4,16.9,85.12462045,23.920786,93.66714383,76.77558327,9.4,17.44225834,70.98873195,35.4
25017,Massachusetts,Middlesex,10.84416686,9.95444314,22.1,18.8,97.71144014,23.09788317,93.51335449,81.18370105,8,16.22414864,67.40090253,48.5
25019,Massachusetts,Nantucket,12.57402351,13.94875843,24.9,19.5,95.4187967,22.14017291,85.6,78.45639623,5.6,20.46936115,72.85419641,3.3
25021,Massachusetts,Norfolk,11.76485133,12.23898028,23.2,19.9,93.6599836,20.89619974,93.28173379,82.8736526,5.9,15.86364685,67.86781431,51.6
25023,Massachusetts,Plymouth,12.6049519,14.51245733,28.2,24.8,86.66367628,21.51854229,91.04850347,69.56844653,7.3,15.80521262,79.7926599,47.4
25025,Massachusetts,Suffolk,17.35459533,14.47541092,21.2,19.3,99.87701223,24.36249759,71.36252162,74.31068323,24.1,24.6095575,40.74553241,49.9
25027,Massachusetts,Worcester,13.8356128,13.80474759,27,23.4,92.2953045,22.53856321,91.23297257,68.42362342,10.8,16.17265807,80.50288099,44.1
33000,New Hampshire,NA,13.10896829,15.66527419,27.9,21.3,88.23186248,20.73347979,88.9,70.6325738,10.1,15.06880844,80.85192147,38.9
33001,New Hampshire,Belknap,12.06237751,14.26895515,28.6,22.9,87.19378245,19.03008588,88.15028902,66.03243918,11.6,15.98201512,80.51233021,37.1
33003,New Hampshire,Carroll,12.58488768,14.79899726,27.2,21.6,80.62235978,16.39139857,93.70460048,64.96424923,14.3,15.46788549,81.37635911,35.1
33005,New Hampshire,Cheshire,12.8603032,16.62463549,30,19.4,75.31413307,21.02849443,89.44636678,66.83910096,12.9,17.16160788,77.55039939,28.4
33007,New Hampshire,Coos,14.85892909,16.50977817,33.6,25.9,73.51081531,17.19677257,92.3566879,54.70947578,21,15.16349263,77.22422444,22.5
33009,New Hampshire,Grafton,11.73241985,13.23682887,23.6,19.2,89.59693889,19.5534821,94.55388181,71.04264456,12.5,14.55378886,74.67239291,30.1
33011,New Hampshire,Hillsborough,12.12360931,13.527797,28,22.5,91.73090504,20.24376129,87.98167049,70.29508883,10,15.31242994,81.36083243,40.1
33013,New Hampshire,Merrimack,10.92609133,13.60364507,27.6,20,92.60882925,19.32617684,87.98151002,69.88600919,9,15.02025004,80.82719809,37.9
33015,New Hampshire,Rockingham,9.280183544,12.45844062,26.6,18.9,88.43721526,19.79673486,93.02662037,76.2280887,6.7,13.26367237,83.54226899,45.7
33017,New Hampshire,Strafford,14.28095424,17.177487,29.8,23.8,89.34409589,21.57213954,85.55452004,73.03572595,10.9,17.50732524,79.07582903,37.5
33019,New Hampshire,Sullivan,13.01803767,16.25616254,33.4,26.5,77.867953,19.57463481,83.97932817,56.95275428,15.2,14.18764302,81.39814414,35.2
44000,Rhode Island,NA,16.37673656,14.94989093,28.1,24.4,94.92773382,19.6438006,84.1,66.29213483,18,18.42701833,80.07897308,32.9
44001,Rhode Island,Bristol,11.42361335,12.43727532,23.2,20.3,96.36090226,21.239148,92.98245614,82.55608028,7.1,16.89119171,80.38662743,40.6
44003,Rhode Island,Kent,14.33040384,14.48754954,29.8,24.2,94.21273727,18.46541343,91.99721642,71.5393297,10.1,16.88027964,85.94119394,36.2
44005,Rhode Island,Newport,12.05678837,12.78066589,25.3,19.5,89.18178747,22.05701305,90.90909091,78.2499608,11,16.7989793,76.09223021,31.3
44007,Rhode Island,Providence,17.30625796,14.46095344,29.1,26.6,96.31175728,18.70857737,82.354943,61.4793184,22.7,19.96125663,78.25633185,29.7
44009,Rhode Island,Washington,12.1841856,12.31839686,24.3,18.7,92.22076091,20.8276006,93.18965517,75.71271466,9.7,14.97326203,83.56529182,40
50000,Vermont,NA,13.05374048,15.81384094,26.3,19.1,75.83473034,19.47666228,89.15708002,68.3351469,12.2,16.96388635,75.87680024,30.8
50001,Vermont,Addison,9.683870326,13.03021651,25.5,20.3,72.45593547,21.68018487,93.69822485,68.5740474,9.6,15.14206514,73.96452737,37.1
50003,Vermont,Bennington,12.62646206,14.71692596,29.6,19.7,100,18.47592747,81.89667897,62.43378458,16.5,17.04545455,76.09077085,20.9
50005,Vermont,Caledonia,13.81302679,15.45826524,31.8,24.5,60.43488007,16.56884272,80.73033708,56.48821,15.1,15.70247934,77.35120719,30.2
50007,Vermont,Chittenden,9.925446379,11.45411369,21.1,14.4,87.48985915,21.68873319,90.04832936,80.61928835,8,16.61459147,73.31825257,25.4
50009,Vermont,Essex,15.66272388,15.91282173,28.6,27.3,43.60926102,18.07963271,NA,49.52463267,24.1,14.12639405,78.56345367,37.9
50011,Vermont,Franklin,13.17820597,17.28986549,34.3,26.1,48.77686089,20.96326521,92.10205832,62.41203591,13.1,15.37628587,81.86608558,40.2
50013,Vermont,Grand Isle,11.94318159,13.19119158,30.4,21.3,62.42467719,21.46075831,NA,67.7861549,12.4,17.90017212,76.73322241,62.5
50015,Vermont,Lamoille,11.31451774,14.80566584,23.8,18.6,68.18386108,21.85349392,88.15737052,67.26904502,13,18.42359768,76.89652585,39
50017,Vermont,Orange,11.45865033,14.2188035,28.3,20.5,51.6726569,18.03329,88.84090909,60.42228925,12.9,16.09101991,75.51522404,43.3
50019,Vermont,Orleans,13.38784984,16.74843966,30.4,25.8,50.64081378,19.86223041,89.12052117,52.58059128,16.7,19.80633803,76.34345794,29.1
50021,Vermont,Rutland,13.92680472,14.58001364,31.4,21.3,84.71983388,18.03262881,89.78817734,63.01136364,13.5,18.80308118,80.7521379,25.7
50023,Vermont,Washington,11.94769512,14.90318884,22.7,16.6,83.02314644,21.03050204,89.968,69.34628975,12.3,16.5174939,74.44088423,32.6
50025,Vermont,Windham,12.32834158,14.90622481,24.2,17.7,69.6470694,18.93669261,85.02910053,60.65538428,16.1,19.85796949,71.57505384,28.4
50027,Vermont,Windsor,11.51854502,13.39601821,27.6,19.1,81.91282866,19.93173551,87.65,66.91025536,11.3,15.73289229,77.95150199,31.6
